Id,SalePrice
1461,144000
1462,157900
1463,173000
1464,173000
1465,193000
1466,200500
1467,173000
1468,193000
1469,167500
1470,123000
1471,165000
1472,83000
1473,88000
1474,148500
1475,148500
1476,232000
1477,235128
1478,232000
1479,232000
1480,232000
1481,271900
1482,202500
1483,176432
1484,208900
1485,83000
1486,192500
1487,232000
1488,232000
1489,147000
1490,220000
1491,186500
1492,115000
1493,176500
1494,212000
1495,341000
1496,208900
1497,146000
1498,232000
1499,193000
1500,193000
1501,177500
1502,177500
1503,232000
1504,193000
1505,208900
1506,136500
1507,260000
1508,167900
1509,167900
1510,167900
1511,142000
1512,167900
1513,112000
1514,136500
1515,117000
1516,140000
1517,165500
1518,124000
1519,278000
1520,142000
1521,142000
1522,157000
1523,115000
1524,145000
1525,139000
1526,80000
1527,145000
1528,115000
1529,125500
1530,167000
1531,112000
1532,129000
1533,132500
1534,115000
1535,133000
1536,125000
1537,134900
1538,130000
1539,228500
1540,136000
1541,117000
1542,117000
1543,155000
1544,123000
1545,128000
1546,132500
1547,132500
1548,131000
1549,134900
1550,128000
1551,102000
1552,236000
1553,96500
1554,128000
1555,190000
1556,112000
1557,136500
1558,119000
1559,122000
1560,139000
1561,136500
1562,130000
1563,142000
1564,124000
1565,154000
1566,168000
1567,105000
1568,215000
1569,117000
1570,147000
1571,135000
1572,119000
1573,335000
1574,180500
1575,260000
1576,138000
1577,185000
1578,160000
1579,138000
1580,176500
1581,154000
1582,130000
1583,350000
1584,189000
1585,136500
1586,86000
1587,112000
1588,139000
1589,64500
1590,155000
1591,129000
1592,149000
1593,115000
1594,112000
1595,117500
1596,225000
1597,160000
1598,112000
1599,275000
1600,275000
1601,80000
1602,131000
1603,124000
1604,275000
1605,193000
1606,171000
1607,171000
1608,200141
1609,147000
1610,167500
1611,180500
1612,212900
1613,181000
1614,129000
1615,118000
1616,88000
1617,115000
1618,130000
1619,147000
1620,189000
1621,167500
1622,119500
1623,275000
1624,335000
1625,123000
1626,135000
1627,173000
1628,250000
1629,193000
1630,227000
1631,181000
1632,227000
1633,83000
1634,193000
1635,173000
1636,176000
1637,223500
1638,195000
1639,181000
1640,197500
1641,152000
1642,193000
1643,186500
1644,189000
1645,197500
1646,155000
1647,175500
1648,124000
1649,135000
1650,123000
1651,120500
1652,83000
1653,83000
1654,148500
1655,147000
1656,146000
1657,148500
1658,146000
1659,148500
1660,145000
1661,402000
1662,335000
1663,465000
1664,320000
1665,232000
1666,271000
1667,335000
1668,227000
1669,157500
1670,320000
1671,232000
1672,232000
1673,281000
1674,232000
1675,224000
1676,196000
1677,224000
1678,385000
1679,244000
1680,278000
1681,208900
1682,315000
1683,181000
1684,174000
1685,174000
1686,160200
1687,167500
1688,189000
1689,178000
1690,193000
1691,154000
1692,255000
1693,177500
1694,193000
1695,180000
